subject,condition,group,alignment
0,con,1,0.31747640701988833
0,abs,1,0.2431495273714379
1,con,1,0.12323617744959162
1,abs,1,0.18076355334634742
2,con,1,0.3619708889164107
2,abs,1,0.23649671924647808
3,con,2,0.12103905548525434
3,abs,2,0.200440366104637
4,con,1,0.10856059125361785
4,abs,1,0.17128648364060897
5,con,1,0.15868826935993965
5,abs,1,0.27701115225098943
6,con,2,0.03540085425871545
6,abs,2,0.07211086800020247
7,con,1,0.1642315092285219
7,abs,1,0.37787589194828497
8,con,1,0.21990804638033568
8,abs,1,0.34609473932372514
9,con,2,0.29935486519607013
9,abs,2,0.22622384843708251
10,con,1,0.04347541043893927
10,abs,1,0.06474036580975037
11,con,1,0.18648697599097971
11,abs,1,0.03785808188428262
12,con,1,0.11314513837794483
12,abs,1,0.19345772242021528
13,con,2,0.3452616603440203
13,abs,2,0.18689154282960407
14,con,1,0.30169603069011414
14,abs,1,0.33721121690907785
15,con,1,0.11940238794882096
15,abs,1,0.3294019042150148
16,con,1,0.3872919989530786
16,abs,1,0.34818943342636344
17,con,1,0.13163257581489474
17,abs,1,0.1549220533940394
18,con,1,0.12052026394150278
18,abs,1,0.15858840065376842
19,con,1,0.12028250648919324
19,abs,1,0.24185231261937684
20,con,1,0.19214065374908787
20,abs,1,0.05486995047899637
21,con,2,0.20163665483885213
21,abs,2,0.18513131704373398
22,con,1,0.2954275271350444
22,abs,1,0.35467638658158107
23,con,1,0.13718023022077402
23,abs,1,0.07796853611043784
24,con,1,0.0512485963145164
24,abs,1,0.23833514430312588
25,con,2,0.09737431010654853
25,abs,2,0.119162376317787
26,con,1,0.3097143668832008
26,abs,1,0.30284194102900264
27,con,1,-0.003895949156659305
27,abs,1,0.010654507488501722
28,con,1,0.17674372087530874
28,abs,1,0.20639113347847013
29,con,1,0.3191700269688901
29,abs,1,0.23603974455640503
30,con,1,0.31336935782155684
30,abs,1,0.1413900017405721
31,con,1,0.1983798364685311
31,abs,1,0.12180226531219591
32,con,1,0.0757588678155626
32,abs,1,0.11797374999767775
33,con,1,0.1684436844045922
33,abs,1,0.06480358436940936
34,con,1,0.07867865595540564
34,abs,1,0.24191920857718752
35,con,2,0.33919852024619884
35,abs,2,0.2434922324684891
36,con,2,0.30934914599574864
36,abs,2,0.015687828459901874
37,con,1,0.11574874988121135
37,abs,1,0.164176056654768
38,con,1,0.12149185964309911
38,abs,1,0.1833053808578149
39,con,1,0.21257849762393324
39,abs,1,0.35529136696003244
40,con,1,-0.04642901435351882
40,abs,1,0.1839913134726678
41,con,1,0.015923420935159045
41,abs,1,0.1802574683770002
42,con,1,0.14206571157996822
42,abs,1,0.16804168867203034
43,con,1,0.16265510882356962
43,abs,1,0.2777472342696872
44,con,1,-0.0034786038862472256
44,abs,1,-0.08189196078841465
45,con,1,0.2575701103277863
45,abs,1,0.3021878823308335
46,con,1,0.06124729307163767
46,abs,1,0.16294871569609043
47,con,1,0.18603104514349797
47,abs,1,0.2197078052868995
48,con,1,0.35657519558962275
48,abs,1,0.4453065848989047
49,con,2,0.20213916302315404
49,abs,2,0.20401317409164801
50,con,2,0.24213286415332552
50,abs,2,0.0384172511820729
51,con,2,0.3614881251496646
51,abs,2,0.3849149745893966
52,con,1,0.07858631909932344
52,abs,1,0.1484924015370662
53,con,2,0.041742697634075655
53,abs,2,0.1652069141383111
54,con,1,0.165521826769887
54,abs,1,0.4192398101375207
55,con,1,0.21650722078851822
55,abs,1,0.24629349925299912
56,con,2,0.20492900535125255
56,abs,2,0.18543191713901833
57,con,1,0.08432449634012042
57,abs,1,0.1381526748159951
58,con,1,0.3722003774482465
58,abs,1,0.30776567027151636
59,con,1,0.2512055838759509
59,abs,1,0.28374280141814245
